detector,name,x_center,y_center,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y
81,R21_S00,-169.25,-42.25,-189.725,-62.265,-148.77499999999998,-62.265,-148.77499999999998,-22.235,-189.725,-22.235
82,R21_S01,-127.0,-42.25,-147.475,-62.265,-106.52499999999999,-62.265,-106.52499999999999,-22.235,-147.475,-22.235
83,R21_S02,-84.75,-42.25,-105.225,-62.265,-64.27499999999999,-62.265,-64.27499999999999,-22.235,-105.225,-22.235
84,R21_S10,-169.25,0.0,-189.725,-20.015,-148.77499999999998,-20.015,-148.77499999999998,20.015,-189.725,20.015
85,R21_S11,-127.0,0.0,-147.475,-20.015,-106.52499999999999,-20.015,-106.52499999999999,20.015,-147.475,20.015
86,R21_S12,-84.75,0.0,-105.225,-20.015,-64.27499999999999,-20.015,-64.27499999999999,20.015,-105.225,20.015
87,R21_S20,-169.25,42.25,-189.725,22.235,-148.77499999999998,22.235,-148.77499999999998,62.265,-189.725,62.265
88,R21_S21,-127.0,42.25,-147.475,22.235,-106.52499999999999,22.235,-106.52499999999999,62.265,-147.475,62.265
89,R21_S22,-84.75,42.25,-105.225,22.235,-64.27499999999999,22.235,-64.27499999999999,62.265,-105.225,62.265
90,R22_S00,-42.25,-42.25,-62.725,-62.265,-21.775,-62.265,-21.775,-22.235,-62.725,-22.235
91,R22_S01,0.0,-42.25,-20.475,-62.265,20.475,-62.265,20.475,-22.235,-20.475,-22.235
92,R22_S02,42.25,-42.25,21.775,-62.265,62.725,-62.265,62.725,-22.235,21.775,-22.235
93,R22_S10,-42.25,0.0,-62.725,-20.015,-21.775,-20.015,-21.775,20.015,-62.725,20.015
94,R22_S11,0.0,0.0,-20.475,-20.015,20.475,-20.015,20.475,20.015,-20.475,20.015
95,R22_S12,42.25,0.0,21.775,-20.015,62.725,-20.015,62.725,20.015,21.775,20.015
96,R22_S20,-42.25,42.25,-62.725,22.235,-21.775,22.235,-21.775,62.265,-62.725,62.265
97,R22_S21,0.0,42.25,-20.475,22.235,20.475,22.235,20.475,62.265,-20.475,62.265
98,R22_S22,42.25,42.25,21.775,22.235,62.725,22.235,62.725,62.265,21.775,62.265
99,R23_S00,84.75,-42.25,64.275,-62.265,105.22500000000001,-62.265,105.22500000000001,-22.235,64.275,-22.235
100,R23_S01,127.0,-42.25,106.525,-62.265,147.47500000000002,-62.265,147.47500000000002,-22.235,106.525,-22.235
101,R23_S02,169.25,-42.25,148.775,-62.265,189.72500000000002,-62.265,189.72500000000002,-22.235,148.775,-22.235
102,R23_S10,84.75,0.0,64.275,-20.015,105.22500000000001,-20.015,105.22500000000001,20.015,64.275,20.015
103,R23_S11,127.0,0.0,106.525,-20.015,147.47500000000002,-20.015,147.47500000000002,20.015,106.525,20.015
104,R23_S12,169.25,0.0,148.775,-20.015,189.72500000000002,-20.015,189.72500000000002,20.015,148.775,20.015
105,R23_S20,84.75,42.25,64.275,22.235,105.22500000000001,22.235,105.22500000000001,62.265,64.275,62.265
106,R23_S21,127.0,42.25,106.525,22.235,147.47500000000002,22.235,147.47500000000002,62.265,106.525,62.265
107,R23_S22,169.25,42.25,148.775,22.235,189.72500000000002,22.235,189.72500000000002,62.265,148.775,62.265
108,R24_S00,211.75,-42.25,191.275,-62.265,232.22500000000002,-62.265,232.22500000000002,-22.235,191.275,-22.235
109,R24_S01,254.0,-42.25,233.525,-62.265,274.475,-62.265,274.475,-22.235,233.525,-22.235
110,R24_S02,296.25,-42.25,275.775,-62.265,316.72499999999997,-62.265,316.72499999999997,-22.235,275.775,-22.235
111,R24_S10,211.75,0.0,191.275,-20.015,232.22500000000002,-20.015,232.22500000000002,20.015,191.275,20.015
112,R24_S11,254.0,0.0,233.525,-20.015,274.475,-20.015,274.475,20.015,233.525,20.015
113,R24_S12,296.25,0.0,275.775,-20.015,316.72499999999997,-20.015,316.72499999999997,20.015,275.775,20.015
114,R24_S20,211.75,42.25,191.275,22.235,232.22500000000002,22.235,232.22500000000002,62.265,191.275,62.265
115,R24_S21,254.0,42.25,233.525,22.235,274.475,22.235,274.475,62.265,233.525,62.265
116,R24_S22,296.25,42.25,275.775,22.235,316.72499999999997,22.235,316.72499999999997,62.265,275.775,62.265
117,R30_S00,-296.25,84.75,-316.725,64.735,-275.77500000000003,64.735,-275.77500000000003,104.765,-316.725,104.765
118,R30_S01,-254.00000000000003,84.75,-274.475,64.735,-233.52500000000003,64.735,-233.52500000000003,104.765,-274.475,104.765
119,R30_S02,-211.75,84.75,-232.225,64.735,-191.27499999999998,64.735,-191.27499999999998,104.765,-232.225,104.765
