source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
4830774915832979584,62.44425580927989,-48.77775992951839,14.345226,31,2.6312244,1.2022978,,,,,,,,,,,,,,,,,
4830775117695599616,62.41873844467936,-48.7561628399916,19.590729,95,0.5153121,1.3341659,,,,,,,,,,,,,,,,,
4830775809186179968,62.37881476689865,-48.768998954313844,16.937956,31,2.1821427,1.277019,,,,,,,,,,,,,,,,,
4830776565100420096,62.39518958059703,-48.67292783236418,14.175789,31,-0.6438832,1.199778,,,,,,,,,,,,,,,,,
4830777939489366144,62.5095093179935,-48.608350502180635,20.899242,95,-1.6665349,1.5948452,,,,,,,,,,,,,,,,,
4830777973849650176,62.51249593913706,-48.60241903630508,18.057037,31,0.22920021,1.3287162,,,,,,,,,,,,,,,,,
4830780237296511872,62.940037543531325,-48.8518475206645,19.199827,95,2.6064272,1.5114403,,,,,,,,,,,,,,,,,
4830780340375742208,62.94603840099735,-48.83830543877451,18.198048,31,1.1881919,1.1833775,,,,,,,,,,,,,,,,,
4830781027570557824,62.92307388657239,-48.791157188197246,19.73773,31,-0.9375834,1.2273712,19.734797,19.745535,0.18559524,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4830781066224803584,62.92208563459136,-48.771601443976884,20.293793,31,0.5988435,1.1893572,,,,,,,,,,,,,,,,,
4830781542967010560,63.062208129584405,-48.756725862773365,20.648663,31,-0.15606315,1.1590565,,,,,,,,,,,,,,,,,
4830782578054610176,63.00448161280745,-48.72311451922975,12.726984,31,-2.2073429,1.2213868,,,,,,,,,,,,,,,,,
4830786215891183616,62.873626097853986,-48.63832125563659,18.960114,31,-0.6838954,1.1750464,,,,,,,,,,,,,,,,,
4830786559488576384,62.91573916925768,-48.62612690727079,17.545336,31,-0.28153834,1.1858426,,,,,,,,,,,,,,,,,
4830786593848310144,62.89755336123184,-48.632314154940495,19.106909,95,0.087731294,1.2806717,,,,,,,,,,,,,,,,,
4830786868726200960,62.83185227997178,-48.65455805916414,20.860977,95,0.8958356,1.4481525,,,,,,,,,,,,,,,,,
4830788483633897856,63.14451191268027,-48.654888279154555,19.372417,95,0.38179895,1.3807857,,,,,,,,,,,,,,,,,
4830790442139038336,63.123452404623336,-48.58267871654056,19.148655,95,-0.7723499,1.4008161,,,,,,,,,,,,,,,,,
4830791717745141248,63.07629406777047,-48.4919647223398,15.177267,31,-0.7226942,1.2266765,,,,,,,,,,,,,,,,,
4830791919607853312,63.163263582675654,-48.48792192579693,19.718002,95,0.6744454,1.2382822,,,,,,,,,,,,,,,,,
4830792194485784704,63.12476856128107,-48.45832287656531,18.535751,31,-1.1795162,1.2708783,,,,,,,,,,,,,,,,,
4830794084271375872,62.94691735843742,-48.48665023673143,19.680841,31,0.65259916,1.1883068,,,,,,,,,,,,,,,,,
4830795424301215232,63.022313683155794,-48.41609949000994,20.62597,95,2.0963092,1.4058645,,,,,,,,,,,,,,,,,
4830796317654428416,63.0124627605007,-48.383458997695854,19.034286,95,1.122899,1.4340094,,,,,,,,,,,,,,,,,
4830797142287976960,62.70369049156167,-48.65133113791453,19.749985,95,-0.7858762,1.2453381,,,,,,,,,,,,,,,,,
4830797971217410560,62.65570579639085,-48.62607461999402,17.291592,31,9.682154,1.2920665,,,,,,,,,,,,,,,,,
4830798344878845056,62.67639508698279,-48.61839517079438,19.535427,31,-0.11104624,1.1557134,,,,,,,,,,,,,,,,,
4830799410030788480,62.73737484566241,-48.545214046281046,20.705425,95,1.72231,1.6012465,,,,,,,,,,,,,,,,,
4830800376397630208,62.64583177639646,-48.521660294401116,20.670292,95,0.44957033,1.7120115,,,,,,,,,,,,,,,,,
4830800376399062144,62.66274775683636,-48.52092877671911,16.958319,31,0.4326176,1.3072202,,,,,,,,,,,,,,,,,
4830800956219069824,62.704954228411,-48.464094821818875,20.075138,95,2.6684432,1.3188275,,,,,,,,,,,,,,,,,
4830802128745720448,62.56470106139091,-48.501407873671226,9.595607,31,0.22681639,1.2328144,,,,,,,,,,,,,,,,,
4830803017803350912,62.50114764490946,-48.497474360827304,17.955877,31,-0.047834232,1.2535805,,,,,,,,,,,,,,,,,
4830803228257349120,62.49755396201468,-48.467520615886436,16.421774,31,-1.8405578,1.1988714,,,,,,,,,,,,,,,,,
4830805324201416704,62.53698245590633,-48.37454683343752,14.27947,31,-1.2646204,1.1895214,,,,,,,,,,,,,,,,,
4830807591944112512,62.78117496743871,-48.36691050431182,17.210411,31,0.7535337,1.3864057,,,,,,,,,,,,,,,,,
4830807656368112384,62.757538370263894,-48.339360585333885,17.945972,31,-0.034453344,1.245843,,,,,,,,,,,,,,,,,
4830809065117376000,62.79208402287843,-48.35950095600079,19.40566,95,1.1659986,1.4321325,,,,,,,,,,,,,,,,,
4830810306363448448,62.665487980599025,-48.36529139934287,16.961535,31,-1.3247869,1.3094856,,,,,,,,,,,,,,,,,
4830811543312719744,62.657116351638905,-48.32662391429624,20.724594,95,0.18591158,1.4609754,,,,,,,,,,,,,,,,,
4830813703682103424,62.65246140413261,-48.19395655737881,19.404995,95,2.53057,1.345341,,,,,,,,,,,,,,,,,
4830814012919748096,62.68479159060106,-48.200336647346575,19.232365,95,0.12548125,1.2273276,,,,,,,,,,,,,,,,,
4830814047279486848,62.68730487994676,-48.19442398279593,19.673584,95,0.9683097,1.5057676,,,,,,,,,,,,,,,,,
4830833907207729664,63.435421588462965,-48.568279794506275,20.21871,95,1.090673,1.6426191,,,,,,,,,,,,,,,,,
4830836690346537088,63.35318642943487,-48.572340959298124,19.145409,31,2.2205465,1.1958365,,,,,,,,,,,,,,,,,
4830836763362264960,63.35372007074542,-48.55607094141445,16.989086,31,-1.0021402,1.1981212,,,,,,,,,,,,,,,,,
