source_id,ra,dec,phot_g_mean_mag,plx,e_plx,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion,DDF,STABLE
3834688196487632000,149.20008708179202,1.479160473085469,15.7691345,0.6100498725608113,0.041881297,31,0.38862827,1.203423,,,,,,,,,,,,,,,,,,COSMOS,True
3834694724837945600,149.03871716541116,1.4723392142863614,14.034812,1.1082990425316113,0.029288393,31,-0.22894996,1.1919341,,,,,,,,,,,,,,,,,,COSMOS,True
3834696060572799488,148.9514142863606,1.5150206012991367,11.823854,1.163226841932599,0.02037949,31,-0.71880674,1.1846652,,,,,,,,,,,,,,,,,,COSMOS,True
3834700115021570688,148.82752757697176,1.5873497328431607,17.589186,1.2497897907575175,0.12844795,31,-0.95739704,1.2808236,,,,,,,,,,,,,,,,,,COSMOS,True
3834704826600996352,149.171591827816,1.6938267624517995,17.76749,1.1277239981446938,0.13659778,31,0.36981827,1.2990708,,,,,,,,,,,,,,,,,,COSMOS,True
3834706265415137280,148.94392916428043,1.619998610671508,17.712173,3.3020418229887207,0.16088238,31,-0.930812,1.3469535,,,,,,,,,,,,,,,,,,COSMOS,True
3834718222604038400,149.42601727685073,1.769229022431466,13.314065,1.3985100338393155,0.018593308,31,0.94683385,1.1903371,,,,,,,,,,,,,,,,,,COSMOS,True
3834719395129680512,149.63672799330718,1.7448782840191326,14.990606,1.047893863518288,0.03979725,31,1.4077367,1.6383941,,,,,,,,,,,,,,,,,,COSMOS,True
3834721387994870784,149.71074944273207,1.790035056609581,15.70473,11.670919105393311,0.061547674,31,0.80538887,1.1269959,15.704864,15.705379,0.0133913625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,COSMOS,False
3834722826808980992,149.5041911090576,1.7392733052126126,12.573448,1.6338894173325145,0.020634903,31,1.9235653,1.2089725,,,,,,,,,,,,,,,,,,COSMOS,True
3834723032967512704,149.4918615736383,1.7582889594253612,17.896791,1.1053092080996565,0.16461791,31,0.65260327,1.3134223,,,,,,,,,,,,,,,,,,COSMOS,True
3834725408084262400,149.57613924156453,1.848531859592716,15.525032,0.7199740869729986,0.05021403,31,2.1275065,1.1985903,,,,,,,,,,,,,,,,,,COSMOS,True
3834729630037177216,149.30940031788762,1.7536423756998616,15.033344,1.1153618732501691,0.03763388,31,1.1351233,1.2065176,,,,,,,,,,,,,,,,,,COSMOS,True
3834741454082088448,149.28301165902752,1.921005463157059,15.099234,0.5770402209322613,0.0325144,31,-0.44213983,1.1894485,,,,,,,,,,,,,,,,,,COSMOS,True
3834754064106041600,148.9380655061976,1.6876400418477475,14.210584,0.8835541227278917,0.026641943,31,2.1427615,1.1879257,,,,,,,,,,,,,,,,,,COSMOS,True
3834782685768086912,149.20475159403026,1.926741742713871,17.95019,0.8823207535630372,0.13416094,31,0.9022425,1.3037925,,,,,,,,,,,,,,,,,,COSMOS,True
3834786220525971968,148.94886174793456,1.97066793519099,18.243994,2.842133783192231,0.24613811,31,1.0471864,1.3960764,,,,,,,,,,,,,,,,,,COSMOS,True
3834801858502097920,148.9770058024843,2.1602457741951175,16.827093,0.5310047837906003,0.084146805,31,0.97729605,1.2310193,,,,,,,,,,,,,,,,,,COSMOS,True
3834805431914873216,148.85862015988172,2.170079817629821,14.656202,1.5709953442600866,0.032007765,31,4.9800086,1.2333252,,,,,,,,,,,,,,,,,,COSMOS,True
3834814532950324224,149.0613631999341,2.3173204907056455,14.743459,1.0195544220129948,0.027326692,31,-0.9856917,1.1994439,,,,,,,,,,,,,,,,,,COSMOS,True
3835131540191759360,151.1418778805363,1.1583889258694828,17.44935,5.974694892213183,0.10077426,31,1.1271402,1.4667127,,,,,,,,,,,,,,,,,,COSMOS,True
3835167720996274816,150.8895949129196,0.9829858040165712,13.656785,1.1524433134653098,0.018763315,31,0.9950785,1.1930908,,,,,,,,,,,,,,,,,,COSMOS,True
3835175589376357888,150.82450172784468,1.1682234217720646,16.381123,1.3278089310196246,0.06380563,31,0.7570716,1.2549905,,,,,,,,,,,,,,,,,,COSMOS,True
3835177199989002496,150.92443228285106,1.1312111728417849,17.550695,0.955066158273232,0.11225737,31,-0.15548792,1.2702743,,,,,,,,,,,,,,,,,,COSMOS,True
3835184248030417664,150.9815112482247,1.2982925890216424,12.212308,0.2564478979386095,0.018793624,31,2.5625596,1.228443,,,,,,,,,,,,,,,,,,COSMOS,True
3835191046963615488,150.5431560681576,1.2496824385076717,18.057917,1.9407120748366045,0.15751378,31,-2.127743,1.4695762,,,,,,,,,,,,,,,,,,COSMOS,True
